Index,Text,issues
0,"Title: Logging Out of the System

Description: The user logs out of their account, securely terminates the session, and is redirected to the main page.

Input: None

Processing: When the user selects the ""Logout"" option, the system securely terminates the user's session on both the client and server sides, ensuring that no session data remains active. All session tokens, cookies, and any authentication-related data (including MFA tokens, if applicable) are invalidated. The logout action is logged for monitoring and auditing purposes. The user is redirected to the main page upon successful logout.

Output: The user is logged out of their account and redirected to the main page. Logout activity is recorded in system logs for security auditing and monitoring.

Error Handling: If an error occurs during the logout process, an appropriate error message is displayed, and the system ensures that the session is safely terminated to prevent unauthorized access. Error logs are generated for review, and any security incidents related to the logout process are escalated as per incident management procedures.",None
1,"Title: Providing a Tabular Report of the Stock Market Status

Description: Displaying the current market status in a tabular format with real-time updates.

Input: None

Processing: The system securely updates the market status in real-time with every change provided through the stock market web service. All data fetched and displayed are logged for auditing purposes to ensure traceability. The system must validate the integrity of data received from the web service to ensure accuracy before updating the display.

Output: A table with columns for symbol, company name, highest price, lowest price, last price, previous price, change, percentage change, best bid, and best ask. Each row shows the status of a stock symbol.

Error Handling: If the market status is not displayed due to a web service failure or data integrity issue, an appropriate error message is displayed, and the event is logged for further review.

",None
2,"Title: Online Purchase of Stocks and Other Securities by Regular and Special Customers

Description: All customers, both regular and special, can securely request online purchases of stocks and other securities.

Input: Type of stock, number of shares, investment price (market price, specified, limited), validity date

Processing: The user must securely log into their account in the system. The user selects the desired stock and number of shares. The user sets the investment price (market, specified, limited). The system verifies that the number of shares does not exceed the available shares. The user specifies the source account for payment (Mellat Bank, Saman Bank, brokerage account). The system securely checks the account balance. If sufficient, the amount is blocked until final confirmation. The system assigns a unique order number, records the order, and logs the transaction for auditing purposes. Each online purchase order is recorded in the user's order list with the status ""in queue.""

Output: Adding the order report to the user's order list.

Error Handling: If the number of shares exceeds the available shares, or if there is an error in processing the order, an appropriate error message is displayed, and the error is logged for further review. The system ensures that no partial transactions occur if an error is encountered.",None
3,"Title: Online Sale of Stocks and Other Securities by Special Customers

Description: Special customers can securely sell their stocks and other securities online.

Input: Type of stock, number of shares, investment price (specified or limited), minimum price

Processing: The user must securely log into their account in the system. The ""special"" access type is checked. If the access type is ""special,"" the online sale feature is enabled. The user selects the desired stock and number of shares. The user sets the investment price (specified or limited) and the minimum price. The system verifies that the number of shares does not exceed the user's available shares. The user specifies the destination account for payment (Mellat Bank, Saman Bank, brokerage account). The system securely records the sale request, assigns a unique order number, and logs the transaction for auditing purposes. The order is recorded in the user's order list.

Output: The order report is added to the user's order list.

Error Handling: If the number of shares exceeds the user's available shares or if there is an issue with processing the sale request, an appropriate error message is displayed, and the error is logged for further review.

",None
4,"Title  Online sale of stocks and other securities by special customers  
Description  Special customers can sell their stocks and other securities online.  
Input  Type of stock, number of shares, investment price, minimum price  
Processing  The user must log into their account in the system. The ""special"" access type is checked. 
If the access type is ""special,"" the online sale feature is enabled. The user selects the 
desired stock and number of shares. The user sets the investment price (specified or 
limited), and the minimum price. The system checks if the number of shares does not 
exceed the user's available shares. The user specifies the destination account for payment 
(Mellat Bank, Saman Bank, brokerage account). The system automatically r ecords the 
sale request. The system assigns a unique order number and records the order. The order 
is recorded in the user's order list with the status ""completed."" Once the sale is confirmed, 
the money is deposited into the user's bank account.  
Output  Decrease in sold shares from the user's portfolio, addition of the sale report to the user's 
order list  
Error 
Handling  If any of the following occur, an appropriate error message is displayed: - The user's 
access type is ""regular"" - The number of shares exceeds the available shares - The sold Title  Online sale of stocks and other securities by special customers  
shares are not removed from the user's portfolio - The sale report is not added to the user's 
order list - The order number is not assigned",None
5,"Online Sale of Stocks and Other Securities by Brokers  
Title  Online sale of stocks and other securities by brokers  
Description  Brokers can sell stocks and other securities online on behalf of customers.  
Input  The first online sale request in the request queue  
Processing  The system presents the first online sale request to the broker. If the customer has 
specified the investment price, the broker sets the price. The broker checks the customer's 
account balance. If sufficient, the amount is blocked. The system automatically  records 
the sale request. The request status is updated from ""in queue"" to ""completed"" after the 
sale. The money is deposited into the customer's bank account and the sold shares are 
removed from the user's portfolio. The sale report is added to the list of transactions by 
the broker.  
Output  Addition of the sale report to the list of transactions by the broker, decrease in sold shares 
from the user's portfolio  
Error 
Handling  If any of the following occur, an appropriate error message is displayed: - The order 
number is not assigned - The sold shares are not removed from the user's portfolio - The 
order is not added to the user's order list and the list of transactions by the broker.",None
6,"Online Sale of Stocks and Other Securities by Regular and Special Customers  
Title  Online sale of stocks and other securities by regular and special customers  
Description  All customers, both regular and special, can request online sales.  
Input  Type of stock, number of shares, sale price (market price, specified, limited), validity 
date, minimum price  
Processing  The user must log into their account in the system. The user selects the desired stock and 
number of shares. The user sets the sale price (market, specified, limited), and the 
minimum price. The system checks if the number of shares does not exceed the ava ilable 
shares. The user specifies the destination account for payment (Mellat Bank, Saman Bank, 
brokerage account). The system automatically records the sale request. The system 
assigns a unique order number and records the order. Each online sale order is  recorded in 
the user's order list with the status ""in queue.""  
Output  Addition of the sale report to the user's order list  
Error 
Handling  If the number of shares exceeds the available shares, an appropriate error message is 
displayed.",None
7,"Title  Editing purchase orders in the queue  
Description  The user can edit purchase orders in their order list that are in the ""in queue"" status.  Title  Editing purchase orders in the queue  
Input  Type of stock, number of shares, investment price, maximum price, validity date  
Processing  All purchase orders with the ""in queue"" status are displayed to the user. The fields, except 
for the type of stock, are editable. If the user edits the number of shares, the system 
checks if the new number does not exceed the available shares. If there is no error, the 
order is updated.  
Output  Change in some characteristics of the purchase orders in the queue  
Error 
Handling  If the number of shares exceeds the available shares, an appropriate error message is 
displayed. If there is an error in entering the information, the field is cleared and an error 
message is displayed. The user can re -enter the information.",None
8,"Title  Editing sale orders in the queue  
Description  The user can edit sale orders in their order list that are in the ""in queue"" status.  
Input  Type of stock, number of shares, investment price, minimum price, validity date  
Processing  All sale orders with the ""in queue"" status are displayed to the user. The fields, except for 
the type of stock, are editable. If the user edits the number of shares, the system checks if 
the new number does not exceed the user's available shares. If there is no error, the order 
is upd ated.  
Output  Change in some characteristics of the sale orders in the queue  
Error 
Handling  If the number of shares exceeds the available shares, an appropriate error message is 
displayed. If there is an error in entering the information, the field is cleared and an error 
message is displayed. The user can re-enter the information.",None
9,"Title  Canceling orders in the queue  
Description  The user can cancel orders in their order list that are in the ""in queue"" status.  
Input  One of the orders in the user's order list  
Processing  All orders with the ""in queue"" status are displayed to the user. The user selects the order 
to cancel. The selected order is removed from the online order queue and marked as 
""canceled.""  
Output  Canceling one of the orders in the queue  
Error 
Handling  If the canceled order is not removed from the online order queue, an appropriate error 
message is displayed. The user is asked to resubmit the cancellation request.",None
