,id,name,type,description,human_readable_id,graph_embedding,text_unit_ids,description_embedding
0,b45241d70f0e43fca764df95b2b81f77,SECURITIES AND EXCHANGE ORGANIZATION,"ORGANIZATION, REGULATOR","The Securities and Exchange Organization is a regulatory body tasked with overseeing securities trading and ensuring adherence to established regulations within the securities market. Specifically, it operates in Iran, where it plays a crucial role in approving trading instructions and ensuring compliance with the Securities Market Act. This organization is integral to maintaining the integrity and transparency of the financial markets, safeguarding investor interests, and fostering a stable trading environment.",0,,['09df3d12bc4f38ce5ed7dc650da1f69a' 'b8aad687bf19828671c663a046bcd55e'],"[-0.01121859 -0.00808782  0.01902377 ... -0.01484941 -0.01312097
 -0.01878461]"
1,4119fd06010c494caa07f439b333f4c5,BOARD OF DIRECTORS,"GROUP, GOVERNANCE","The Board of Directors serves as a crucial governing body responsible for overseeing the operations and strategic direction of both the Tehran Stock Exchange and the Securities and Exchange Organization. This board is tasked with the approval of trading instructions, regulations, and policies that guide the operations of these financial entities. Comprising individuals who ensure compliance and strategic oversight, the Board of Directors plays a vital role in shaping the governance of brokers and broker/dealers within the financial market. Their responsibilities encompass not only the approval of operational guidelines but also the broader strategic direction necessary for effective governance in the securities sector.",1,,"['09df3d12bc4f38ce5ed7dc650da1f69a' 'b8aad687bf19828671c663a046bcd55e'
 'bb514959f14d2cb0af141b64f53a9798' 'd1a7031eff22cf41326dafad9022b6b3'
 'd5209d1b5fcc8847eb4c290b676e0ec1']","[ 0.0043259  -0.02500166  0.05863241 ... -0.0036844  -0.00378374
 -0.01395415]"
2,d3835bf3dda84ead99deadbeac5d0d7d,STOCK EXCHANGE,"MARKET, PLATFORM","The Stock Exchange refers to various trading platforms in Iran, including the Tehran Stock Exchange and others, where securities and commodities are bought and sold.",2,,['b8aad687bf19828671c663a046bcd55e'],"[-0.03094571 -0.03618424  0.0274264  ...  0.02131816 -0.03351441
 -0.01173106]"
3,077d2820ae1845bcbb1803379a3d1eae,ASSOCIATION OF BROKERS AND SECURITIES DEALERS,"ORGANIZATION, ASSOCIATION","This association represents brokers and securities dealers, providing a framework for collaboration and regulation within the securities market.",3,,['b8aad687bf19828671c663a046bcd55e'],"[-0.0147881  -0.03514186  0.04535324 ...  0.00637061 -0.032957
  0.04321437]"
4,3671ea0dd4e84c1a9b02c5ab2c8f4bac,ORDER,"TRANSACTION, REQUEST","The term ""ORDER"" refers to a request made by a customer to buy or sell financial instruments, which encompasses securities and commodities, through a broker or broker/dealer. An order includes specific details such as quantities and values, as well as various restrictions and capabilities that pertain to its execution and validity. This definition highlights the essential role of orders in facilitating transactions in financial markets, ensuring that clients can effectively communicate their trading intentions.",4,,"['85af99fbea29f5aa62157414d72e27d9' 'a0487bba60a2e4c43dae59fed9fd47a3'
 'b8aad687bf19828671c663a046bcd55e']","[ 0.02305763 -0.0174452  -0.01922555 ... -0.01033468  0.02213489
  0.00546045]"
5,19a7f254a5d64566ab5cc15472df02de,ONLINE INFRASTRUCTURE,"SYSTEM, TECHNOLOGY","The ""ONLINE INFRASTRUCTURE"" encompasses the electronic systems that facilitate customer interactions with brokers or broker/dealers. This infrastructure allows customers to efficiently place, modify, or cancel their orders online, streamlining the trading process and enhancing user experience. By providing a robust platform for these transactions, the online infrastructure plays a crucial role in modern financial markets, ensuring that customers have the necessary tools to manage their trading activities effectively.",5,,['b8aad687bf19828671c663a046bcd55e' 'c032bffeb1647da1519f68da022ab92a'],"[-6.07435219e-03  2.26244767e-04 -6.74593402e-03 ... -2.79747328e-05
 -9.79365036e-03  4.35353667e-02]"
6,e7ffaee9d31d4d3c96e04f911d0a8f9e,DIRECT ONLINE ORDER SENDING INFRASTRUCTURE,"SYSTEM, TECHNOLOGY","The ""DIRECT ONLINE ORDER SENDING INFRASTRUCTURE"" is a sophisticated system designed to enable customers to transmit recorded orders directly to the trading system, bypassing any intermediary intervention. This functionality significantly enhances the efficiency of automated trading processes, allowing for quicker and more streamlined transactions. By eliminating the need for intermediaries, the infrastructure not only accelerates order execution but also reduces potential errors and delays associated with manual processing. Overall, this infrastructure plays a crucial role in modern trading environments, promoting a more direct and efficient interaction between customers and trading systems.",6,,['b8aad687bf19828671c663a046bcd55e' 'c032bffeb1647da1519f68da022ab92a'],"[ 0.01397526  0.00212345  0.00958638 ... -0.00815429 -0.00261727
  0.0244567 ]"
7,f7e11b0e297a44a896dc67928368f600,BROKER,,"A broker is an individual or entity that plays a crucial role in the financial markets by facilitating the buying and selling of financial instruments on behalf of clients. Brokers are licensed and authorized to provide trading services, ensuring compliance with various regulations and organizational requirements. They are responsible for managing client accounts, handling trades, and maintaining operational capabilities within the trading system. 

In addition to executing transactions, brokers must also manage back-office operations, which include record-keeping, order modifications, and communication with clients regarding trading conditions and any potential disruptions. They are required to inform customers of any restrictions and ensure that all trading activities adhere to established procedures. Furthermore, brokers must obtain commitments and guarantees from other entities to mitigate potential damages associated with transactions.

Overall, brokers serve as intermediaries in the capital market, providing essential support services that enhance operational efficiency and ensure the security of trading activities. Their multifaceted responsibilities encompass not only the facilitation of trades but also the management of compliance and client relations, making them integral to the functioning of financial markets.",7,,"['09df3d12bc4f38ce5ed7dc650da1f69a' '27382cda701e1f327d12fdb98f6bc70b'
 '46ddabdd70245155818baa3e34094a25' '4e4cee49857a880c1717185fd7a2ca15'
 '838cfbb3633206883cf65e3688282cd6' '85af99fbea29f5aa62157414d72e27d9'
 '86e273c2baba19b98e7b9ea36848a0a2' '8ae14296aaa66cf00b9eba6ff886eebf'
 '8d3b57f721b83b8bed0705fa8c9fe0f0' 'ab9485075471db253a74760064417008'
 'ae8714d7f10c864553ed26978eb96983' 'b8aad687bf19828671c663a046bcd55e'
 'bc178ca51bd15fa21a25be0fbb2bf484' 'd1a7031eff22cf41326dafad9022b6b3'
 'd5209d1b5fcc8847eb4c290b676e0ec1' 'dc54736a848b4c3f7c926e7bce86f3f2'
 'de29e5223e5925e8f4bf1d4d153aca66' 'fe10f1da40f290a2edd80ea6fab3ece3']","[ 0.00028456  0.01456735  0.0326101  ... -0.03105294 -0.02149558
  0.06720614]"
8,1fd3fa8bb5a2408790042ab9573779ee,CUSTOMER,"PERSON, ENTITY","The customer is defined as an individual or entity that actively engages in trading activities, primarily by placing orders to buy or sell securities or commodities through brokers or broker/dealers. This engagement necessitates a certain level of knowledge regarding regulations and trading skills, as customers must navigate various restrictions and notifications imposed by brokers concerning their trades. Customers hold accounts that allow them to perform transactions, including deposits and withdrawals, and they interact with the trading system to place orders, check order statuses, and receive confirmations related to their transactions. Overall, the customer plays a crucial role in the trading ecosystem, requiring a comprehensive understanding of the regulatory landscape and the operational procedures of brokers.",8,,"['2bb922dcf604e4ad84724e9d7ab659c9' '3d9f8a040339e253d51c62455c38d09e'
 'ab9485075471db253a74760064417008' 'ae8714d7f10c864553ed26978eb96983'
 'c032bffeb1647da1519f68da022ab92a' 'dc54736a848b4c3f7c926e7bce86f3f2'
 'fe10f1da40f290a2edd80ea6fab3ece3']","[ 0.04355392  0.01257777 -0.01530433 ... -0.04312716 -0.02097085
  0.02346032]"
9,27f9fbe6ad8c4a8b9acee0d3596ed57c,BROKER/BROKER-DEALER,"PERSON, ROLE",The broker or broker/dealer is a licensed individual or entity authorized to provide trading services to customers and facilitate transactions in the trading system.,9,,['c032bffeb1647da1519f68da022ab92a'],"[-0.0192431  -0.00774808 -0.00381049 ... -0.03541349 -0.01022393
  0.06543317]"
10,e1fd0e904a53409aada44442f23a51cb,GROUPED ONLINE ORDER SENDING INFRASTRUCTURE,"SYSTEM, PLATFORM","This infrastructure enables authorized traders to send grouped orders to the trading system without intermediary intervention, streamlining the order process.",10,,['c032bffeb1647da1519f68da022ab92a'],"[ 0.00658478 -0.00528589  0.00565968 ... -0.01062163 -0.00734481
 -0.00664085]"
11,de988724cfdf45cebfba3b13c43ceede,ONLINE TRADING,"PROCESS, ACTIVITY","Online trading refers to the process where brokers receive orders online from customers, perform necessary controls, and send them to the trading system.",11,,['c032bffeb1647da1519f68da022ab92a'],"[ 3.72457616e-05 -1.80075911e-03  1.37334159e-02 ...  5.82969515e-03
  1.08970450e-02 -7.14137638e-03]"
12,96aad7cb4b7d40e9b7e13b94a67af206,APPLICATION PROGRAMMING INTERFACE (API),"TECHNOLOGY, INTERFACE","The Application Programming Interface (API) serves as a crucial practical interface that facilitates interaction between various software applications within the trading process. It enables seamless communication and integration with online infrastructures, specifically designed for trading services. This functionality is essential for enhancing the efficiency and effectiveness of trading operations, allowing different systems to work together harmoniously. The API's role in connecting disparate software applications underscores its importance in the modern trading landscape, where interoperability and real-time data exchange are vital for success.",12,,['27382cda701e1f327d12fdb98f6bc70b' 'c032bffeb1647da1519f68da022ab92a'],"[-0.02251562  0.00325538  0.04244847 ... -0.03713942 -0.02606695
  0.05466885]"
13,c9632a35146940c2a86167c7726d35e9,BROKER-DEALER,"PERSON, ROLE","The broker-dealer is a licensed entity that combines the functions of a broker and dealer, facilitating trading services and market transactions.",13,,['27382cda701e1f327d12fdb98f6bc70b'],"[-0.01366185 -0.03034538  0.00635946 ... -0.01713357 -0.02880239
  0.0610765 ]"
14,9646481f66ce4fd2b08c2eddda42fc82,TRADING SYSTEM,"SYSTEM, INFRASTRUCTURE","The ""TRADING SYSTEM"" refers to a sophisticated digital platform that serves multiple critical functions within the financial market. It processes and executes customer orders while ensuring compliance with relevant regulations, thereby maintaining the integrity and legality of trading activities. This system acts as the foundational infrastructure that facilitates not only the execution of trades but also the management of orders, ensuring that transactions are conducted efficiently and transparently. By integrating regulatory compliance into its operations, the trading system plays a vital role in fostering trust and stability within the market environment.",14,,"['27382cda701e1f327d12fdb98f6bc70b' 'ab9485075471db253a74760064417008'
 'dc54736a848b4c3f7c926e7bce86f3f2']","[-0.01457993  0.00061475  0.01586209 ...  0.01481194  0.00655731
  0.01183857]"
15,d91a266f766b4737a06b0fda588ba40b,ORGANIZATION,"GROUP, ENTITY","The term ""organization"" refers to a structured group of individuals working collaboratively to achieve common goals, which can vary in size, type of activities, and complexity. Organizations are often governed by established policies and procedures, and they play a crucial role in various operational activities, including business functions and information transfer. In the context of information security management, an organization is responsible for implementing and maintaining an Information Security Management System (ISMS), which includes managing information security risks, protecting sensitive information, and ensuring compliance with legal and contractual requirements.

Organizations are tasked with overseeing development and security practices, managing information systems, and addressing vulnerabilities. They establish information security objectives and implement necessary controls for risk treatment, ensuring the continuity of operations in adverse situations. Furthermore, organizations may serve as governing bodies that set regulations and requirements for specific sectors, such as trading activities, ensuring compliance and risk management for brokers and broker/dealers.

In summary, an organization is a cohesive entity that not only focuses on achieving specific goals but also emphasizes the importance of information security and regulatory compliance, particularly in contexts that require the protection of assets and sensitive information.",15,,"['01eed2e5f04e57d8fdd801dc27b171b4' '0dadca44a4b33eaddfdf194ef3a75c57'
 '133168507eb37aaee90c45f678487959' '13dd570d9586395ff39cafc34a520409'
 '151a217a1b445428a8b3f9b5b629110a' '27382cda701e1f327d12fdb98f6bc70b'
 '29a137fa86a1530752a53521f2e7165c' '30c1cdde36e50007b66e94211d22dc38'
 '4949a368ddb2d7ecec13dd240c0a3f09' '543602bd3eff3e0b9f6cd085d3da91e1'
 '56856509d39eb5b674366bbc76ffd72b' '76201b7903b27d6d1e4d963b4c3d574e'
 '7a40eba9f5bc5801c3fbc7eb96b85561' '8ae14296aaa66cf00b9eba6ff886eebf'
 'a0e24825b0fc7afd37a8b2934f8c0762' 'aaa3eca778b2ddc6db34d7266fe682d0'
 'ae8714d7f10c864553ed26978eb96983' 'bb514959f14d2cb0af141b64f53a9798'
 'bc178ca51bd15fa21a25be0fbb2bf484' 'be532224f89ba859dd4bff6ea7fae0cf'
 'c0683849a2c9e1d8ff2b2059defdfba7' 'c3f63cbf24a117a41c9a467a4b694a8c'
 'c60bfe669ae72a8eb1cac94e0cfee167' 'cfbfaf3a61f9218cd5a6071b1bdb7164'
 'd30ac1a970c2e010bbe99a3ce4fdb9b1' 'd9bef38ecf65fb925fa6952a2bf29ad9'
 'dc54736a848b4c3f7c926e7bce86f3f2' 'e71b2be806fc539bc480ce1d1ae24377'
 'e9138169b7c051a081fc7ad95e6ff5cc']","[ 0.00789493  0.00503173  0.03918589 ... -0.02037753 -0.01710841
  0.0335412 ]"
16,bc0e3f075a4c4ebbb7c7b152b65a5625,BROKER/DEALER,"PERSON, ROLE","The ""broker/dealer"" is a financial intermediary that plays a dual role in the securities market, both buying and selling securities for its own account and on behalf of clients. This entity combines the functions of a broker, who executes buy and sell orders for clients, and a dealer, who trades for their own account. As a professional intermediary, the broker/dealer is responsible for engaging in trading activities, ensuring compliance with specific regulations and obligations that govern their operations. This includes adhering to regulations related to support services and access to information, which are essential for maintaining transparency and trust in financial transactions. Overall, the broker/dealer serves as a crucial link in the financial markets, facilitating trades while upholding regulatory standards to protect client interests.",16,,"['8ae14296aaa66cf00b9eba6ff886eebf' 'ae8714d7f10c864553ed26978eb96983'
 'bc178ca51bd15fa21a25be0fbb2bf484' 'd1a7031eff22cf41326dafad9022b6b3'
 'd5209d1b5fcc8847eb4c290b676e0ec1' 'dc54736a848b4c3f7c926e7bce86f3f2'
 'fe10f1da40f290a2edd80ea6fab3ece3']","[-0.02088649 -0.03947875  0.02553171 ... -0.03082432 -0.01977345
  0.0646016 ]"
17,254770028d7a4fa9877da4ba0ad5ad21,SECURE MULTI-FACTOR AUTHENTICATION,"SECURITY MEASURE, TECHNIQUE","Secure multi-factor authentication is a security protocol that requires multiple forms of verification to access trading systems, ensuring enhanced security.",17,,['dc54736a848b4c3f7c926e7bce86f3f2'],"[ 0.00263565  0.02455804  0.04929648 ... -0.01640585 -0.02566304
  0.00715994]"
18,4a67211867e5464ba45126315a122a8a,INFRASTRUCTURES,"SYSTEM, ASSET","Infrastructures encompass the essential systems and frameworks that support trading activities within the financial sector. They include access to critical information such as criminal records and customer data, which are vital for compliance and operational integrity. These infrastructures consist of various operational systems and processes that brokers and broker/dealers utilize to offer financial instruments and services, necessitating organizational approval to ensure they meet regulatory standards. Furthermore, the infrastructures involve the underlying technologies, including network equipment, operating systems, databases, and software management, which are crucial for the seamless operation of broker services. It is imperative that these infrastructures are effectively maintained and communicated about, particularly in the event of disruptions, to uphold the reliability and efficiency of trading activities.",18,,"['8ae14296aaa66cf00b9eba6ff886eebf' 'ae8714d7f10c864553ed26978eb96983'
 'd1a7031eff22cf41326dafad9022b6b3' 'd5209d1b5fcc8847eb4c290b676e0ec1']","[-0.02047219  0.02195465  0.04513294 ... -0.01637775 -0.00935955
  0.06522862]"
19,04dbbb2283b845baaeac0eaf0c34c9da,REGULATIONS,"RULE, GUIDELINE",The regulations are the rules and guidelines established by the organization that govern the conduct of brokers and broker/dealers in the financial market.,19,,['ae8714d7f10c864553ed26978eb96983'],"[-0.01108573  0.01852135  0.03875403 ... -0.01330071  0.00028263
  0.03396664]"
20,1943f245ee4243bdbfbd2fd619ae824a,ONLINE TRADING INFRASTRUCTURE,"SYSTEM, PLATFORM",The online trading infrastructure refers to the technological systems and platforms that facilitate electronic trading of securities and manage orders.,20,,['bc178ca51bd15fa21a25be0fbb2bf484'],"[-0.01066281 -0.01037225 -0.00677047 ...  0.01132615 -0.00037039
  0.02942825]"
21,273daeec8cad41e6b3e450447db58ee7,RESTRICTIONS,"REGULATION, POLICY","The term ""RESTRICTIONS"" refers to limitations imposed on customer trading activities, which are governed by a combination of laws, regulations, and internal policies. These restrictions must be clearly communicated by brokers to their customers to ensure compliance and understanding. They encompass various specific limitations or conditions that can affect trading, including the types of orders that can be placed, the times during which trading is permitted, and specific limitations that may apply to individual customers. Overall, these restrictions are essential for maintaining regulatory compliance and managing risk within trading environments.",21,,"['ab9485075471db253a74760064417008' 'bc178ca51bd15fa21a25be0fbb2bf484'
 'fe10f1da40f290a2edd80ea6fab3ece3']","[ 0.04622735  0.03797762  0.0624382  ... -0.00906148  0.00914566
  0.02370294]"
22,e69dc259edb944ea9ea41264b9fcfe59,ORDER VOLUME RESTRICTION,"REGULATION, POLICY","Restrictions placed on the volume of orders that can be executed, which may include both visible and hidden parts of the order.",22,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.01998785  0.02898556  0.0099622  ... -0.02342703  0.03253895
 -0.00782382]"
23,e2f5735c7d714423a2c4f61ca2644626,ORDER PRICE RESTRICTION,"REGULATION, POLICY",Limitations imposed on the price at which orders can be placed in the market.,23,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.03850076 -0.01442616  0.03780328 ... -0.00327814  0.04270888
 -0.00339148]"
24,deece7e64b2a4628850d4bb6e394a9c3,TRADING ACTIVITIES RESTRICTION,"REGULATION, POLICY","Restrictions that apply to trading activities for specific customers or groups, potentially to mitigate risk or ensure compliance.",24,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.00664202  0.02045454  0.059574   ... -0.00146908 -0.00370536
  0.00962072]"
25,e657b5121ff8456b9a610cfaead8e0cb,BROKER RESTRICTION,"REGULATION, POLICY",Limitations on the number of customers that each broker or broker/dealer can serve.,25,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.02771828  0.00733092  0.03807814 ... -0.02724167  0.00413266
  0.04196622]"
26,bf4e255cdac94ccc83a56435a5e4b075,CUSTOMER TRADE RESTRICTION,"REGULATION, POLICY",Restrictions on the volume and value of trades that customers can execute.,26,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.03801275  0.02849653  0.00936631 ... -0.01604722  0.02240875
 -0.02729722]"
27,3b040bcc19f14e04880ae52881a89c1c,PRICE FLUCTUATION RESTRICTION,"REGULATION, POLICY",Limits on the permissible fluctuations in price for securities or commodities.,27,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[-0.00559623  0.00814152  0.02854333 ... -0.0092376   0.02276913
  0.0240234 ]"
28,3d6b216c14354332b1bf1927ba168986,ORDER PRICE DIFFERENCE RESTRICTION,"REGULATION, POLICY",Restrictions on the percentage difference between the order price and the market quote range.,28,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.00156988 -0.02027005  0.02391505 ...  0.01027337  0.01847763
  0.02230307]"
29,1c109cfdc370463eb6d537e5b7b382fb,LAST TRADE PRICE DIFFERENCE RESTRICTION,"REGULATION, POLICY",Limits on the percentage difference between the order price and the last trade price.,29,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.02133907 -0.01632945  0.01156669 ...  0.00904382  0.00671362
  0.01210258]"
30,3d0dcbc8971b415ea18065edc4d8c8ef,SIGNIFICANT VOLUME TRADE RESTRICTION,"REGULATION, POLICY",Restrictions on price differences for orders that involve significant volume and value.,30,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.01826913  0.00246797 -0.00579956 ... -0.0001855   0.00089093
  0.01295088]"
31,68105770b523412388424d984e711917,PURCHASE AMOUNT RESTRICTION,"REGULATION, POLICY",Limits on the minimum or maximum amount that can be purchased in a single order.,31,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.02189968 -0.00212067  0.02279574 ... -0.01715654  0.02093194
  0.0258304 ]"
32,85c79fd84f5e4f918471c386852204c5,MINIMUM PRICE CHANGE RESTRICTION,"REGULATION, POLICY",Restrictions on the minimum price change that can occur for an order.,32,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[-0.00538114  0.00367261  0.01319286 ... -0.00543463  0.02369961
  0.02032414]"
33,eae4259b19a741ab9f9f6af18c4a0470,ORDER TYPE RESTRICTION,"REGULATION, POLICY",Restrictions on whether an order can be classified as a buy or sell order.,33,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.0023718   0.01862681 -0.00385961 ... -0.00780312  0.03063715
 -0.00165112]"
34,3138f39f2bcd43a69e0697cd3b05bc4d,EXECUTION METHOD RESTRICTION,"REGULATION, POLICY",Limitations on the methods by which an order can be executed.,34,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.04516402  0.05107217  0.02870029 ... -0.05349476  0.01221184
 -0.0010228 ]"
35,dde131ab575d44dbb55289a6972be18f,ORDER VALIDITY PERIOD RESTRICTION,"REGULATION, POLICY",Restrictions on the duration for which an order remains valid before it must be executed or canceled.,35,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.01277064  0.03608719  0.03876668 ... -0.01762569  0.01353269
  0.00542353]"
36,de9e343f2e334d88a8ac7f8813a915e5,OPEN COMMITMENT POSITION RESTRICTION,"REGULATION, POLICY",Limits on the number of open commitment positions that can be held in a specific symbol or across all symbols.,36,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.05095576  0.01325304  0.06596475 ... -0.02232653  0.01365363
  0.00104489]"
37,e2bf260115514fb3b252fd879fb3e7be,INITIAL MARGIN RESTRICTION,"REGULATION, POLICY",Restrictions on the initial margin amount required per customer or per symbol.,37,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.02866801  0.01372766  0.05413452 ... -0.01104155 -0.01928178
  0.01360639]"
